1,5,5,5,5,5,5,5,5,5,5,5,5,15,13,5,5,5,5,5,5,5,5,5,5,5,5,2
8,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,6
8,0,9,7,7,10,0,9,7,7,7,10,0,6,8,0,9,7,7,7,10,0,9,7,7,10,0,6
8,0,6,0,0,8,0,6,0,0,0,8,0,6,8,0,6,0,0,0,8,0,6,0,0,8,0,6
8,0,12,5,5,11,0,12,5,5,5,11,0,12,11,0,12,5,5,5,11,0,12,5,5,11,0,6
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,0,9,7,7,10,0,9,10,0,9,7,7,7,7,7,7,10,0,9,10,0,9,7,7,10,0,6
8,0,12,5,5,11,0,6,8,0,12,5,5,15,13,5,5,11,0,6,8,0,12,5,5,11,0,6
8,0,0,0,0,0,0,6,8,0,0,0,0,6,8,0,0,0,0,6,8,0,0,0,0,0,0,6
4,7,7,7,7,10,0,6,14,7,7,10,0,6,8,0,9,7,7,16,8,0,9,7,7,7,7,3
99,99,99,99,99,8,0,6,13,5,5,11,0,12,11,0,12,5,5,15,8,0,6,99,99,99,99,99
99,99,99,99,99,8,0,6,8,0,0,0,0,0,0,0,0,0,0,6,8,0,6,99,99,99,99,99
99,99,99,99,99,8,0,6,8,0,17,7,7,7,7,7,7,19,0,6,8,0,6,99,99,99,99,99
5,5,5,5,5,11,0,12,11,0,6,99,99,99,99,99,99,8,0,12,11,0,12,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,6,99,99,99,99,99,99,8,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,10,0,9,10,0,6,99,99,99,99,99,99,8,0,9,10,0,9,7,7,7,7,7
99,99,99,99,99,8,0,6,8,0,18,5,5,5,5,5,5,20,0,6,8,0,6,99,99,99,99,99
99,99,99,99,99,8,0,6,8,0,0,0,0,0,0,0,0,0,0,6,8,0,6,99,99,99,99,99
99,99,99,99,99,8,0,6,8,0,9,7,7,7,7,7,7,10,0,6,8,0,6,99,99,99,99,99
1,5,5,5,5,11,0,12,11,0,12,5,5,15,13,5,5,11,0,12,11,0,12,5,5,5,5,2
8,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,6
8,0,9,7,7,10,0,9,7,7,7,10,0,6,8,0,9,7,7,7,10,0,9,7,7,10,0,6
8,0,12,5,15,8,0,12,5,5,5,11,0,12,11,0,12,5,5,5,11,0,6,13,5,11,0,6
8,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,6
14,7,10,0,6,8,0,9,10,0,9,7,7,7,7,7,7,10,0,9,10,0,6,8,0,9,7,16
13,5,11,0,12,11,0,6,8,0,12,5,5,15,13,5,5,11,0,6,8,0,12,11,0,12,5,15
8,0,0,0,0,0,0,6,8,0,0,0,0,6,8,0,0,0,0,6,8,0,0,0,0,0,0,6
8,0,9,7,7,7,7,16,14,7,7,10,0,6,8,0,9,7,7,16,14,7,7,7,7,10,0,6
8,0,12,5,5,5,5,5,5,5,5,11,0,12,11,0,12,5,5,5,5,5,5,5,5,11,0,6
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3
